type,datasheets,image,corporatePartNumber,manufacturerPartNumber,manufacturer,description,unitPrice,packaging,series,resistance,tolerance,power,composition,features,temperatureCoefficient,operatingTemperature,sizeDimension
Resistor,http://www.ohmite.com/cat/res_tbh25.pdf,http://media.digikey.com/photos/Ohmite%20Photos/TBH25PR036JE.JPG,TBH25P51R0JE-ND,TBH25P51R0JE,Ohmite,RES 51 OHM 25W 5% TO220,5.45,Bulk,TBH,51,±5%,25W,Thick Film,"Current Sense, Moisture Resistant, Non-Inductive",±50ppm/°C,-55°C ~ 150°C,"0.402"" L x 0.187"" W (10.20mm x 4.75mm)"
Resistor,http://www.ohmite.com/cat/res_minimox.pdf,http://media.digikey.com/photos/Ohmite%20Photos/MOX-400231006FE.jpg,MOX400F-100ME-ND,MOX-400231006FE,Ohmite,RES 100M OHM 3/4W 1% AXIAL,5.83,Bulk,Mini-Mox,100M,±1%,"0.75W, 3/4W",Thick Film,High Voltage,50ppm/°C,-55°C ~ 220°C,"0.165"" Dia x 0.581"" L (4.19mm x 14.78mm)"
Resistor,http://www.ohmite.com/cat/res_10.pdf,http://media.digikey.com/photos/Ohmite%20Photos/13FPR%203W%20SERIES.jpg,13FPR100E-ND,13FPR100E,Ohmite,RES 0.1 OHM 3W 1% AXIAL,5.87,Bulk,10,0.1,±1%,3W,Metal Element,"Current Sense, Non-Inductive",±50ppm/°C,-55°C ~ 200°C,"0.200"" Dia x 0.626"" L (5.08mm x 15.90mm)"
Resistor,http://www.ohmite.com/cat/res_tch35.pdf,http://media.digikey.com/photos/Ohmite%20Photos/TBH25PR036JE.JPG,TCH35P75R0JE-ND,TCH35P75R0JE,Ohmite,RES 75 OHM 35W 5% TO220,5.89,Bulk,TCH,75,±5%,35W,Thick Film,Moisture Resistant,±50ppm/°C,-55°C ~ 175°C,"0.400"" L x 0.175"" W (10.16mm x 4.44mm)"
Resistor,http://www.ohmite.com/cat/res_tch35.pdf,http://media.digikey.com/photos/Ohmite%20Photos/TBH25PR036JE.JPG,TCH35P10K0JE-ND,TCH35P10K0JE,Ohmite,RES 10K OHM 35W 5% TO220,5.89,Bulk,TCH,10k,±5%,35W,Thick Film,Moisture Resistant,±50ppm/°C,-55°C ~ 175°C,"0.400"" L x 0.175"" W (10.16mm x 4.44mm)"
Resistor,http://www.ohmite.com/cat/res_tch35.pdf,http://media.digikey.com/photos/Ohmite%20Photos/TBH25PR036JE.JPG,TCH35P1R00JE-ND,TCH35P1R00JE,Ohmite,RES 1 OHM 35W 5% TO220,5.89,Bulk,TCH,1,±5%,35W,Thick Film,Moisture Resistant,±100ppm/°C,-55°C ~ 175°C,"0.400"" L x 0.175"" W (10.16mm x 4.44mm)"
Resistor,http://www.ohmite.com/cat/res_maximox.pdf,http://media.digikey.com/photos/Ohmite%20Photos/MOX-1-121005FE.jpg,MOX1FE-10M-ND,MOX-1-121005FE,Ohmite,RES 10M OHM 2.5W 1% AXIAL,7.65,Bulk,Maxi-Mox,10M,±1%,2.5W,Thick Film,High Voltage,±25ppm/°C,-55°C ~ 210°C,"0.310"" Dia x 1.120"" L (7.87mm x 28.45mm)"
Resistor,http://www.ohmite.com/cat/res_10.pdf,http://media.digikey.com/photos/Ohmite%20Photos/17FPR%207W%20SERIES.jpg,17FPR010E-ND,17FPR010E,Ohmite,RES 0.01 OHM 7W 1% AXIAL,7.94,Bulk,10,0.01,±1%,7W,Metal Element,"Current Sense, Non-Inductive",±100ppm/°C,-55°C ~ 200°C,"0.375"" Dia x 1.500"" L (9.53mm x 38.10mm)"
Resistor,http://www.ohmite.com/cat/res_teh100.pdf,http://media.digikey.com/photos/Ohmite%20Photos/TEH-Series-5%25-T0247-Resistor.jpg,TEH100M5R00JE-ND,TEH100M5R00JE,Ohmite,RES 5 OHM 100W 5% TO247,11.04,Tube,TEH100,5,±5%,100W,Thick Film,"Moisture Resistant, Non-Inductive, Pulse Withstanding",100ppm/°C,-,"0.620"" L x 0.195"" W (15.75mm x 4.95mm)"
Resistor,http://www.ohmite.com/cat/res_teh100.pdf,http://media.digikey.com/photos/Ohmite%20Photos/TEH-Series-1%25-T0247-Resistor.jpg,TEH100M1R00FE-ND,TEH100M1R00FE,Ohmite,RES 1 OHM 100W 1% TO247,11.13,Tube,TEH100,1,±1%,100W,Thick Film,"Moisture Resistant, Non-Inductive, Pulse Withstanding",250ppm/°C,-,"0.620"" L x 0.195"" W (15.75mm x 4.95mm)"
Resistor,http://www.ohmite.com/cat/res_teh100.pdf,http://media.digikey.com/photos/Ohmite%20Photos/TEH-Series-1%25-T0247-Resistor.jpg,TEH100M5R00FE-ND,TEH100M5R00FE,Ohmite,RES 5 OHM 100W 1% TO247,11.13,Tube,TEH100,5,±1%,100W,Thick Film,"Moisture Resistant, Non-Inductive, Pulse Withstanding",100ppm/°C,-,"0.620"" L x 0.195"" W (15.75mm x 4.95mm)"
Resistor,http://www.ohmite.com/cat/res_teh100.pdf,http://media.digikey.com/photos/Ohmite%20Photos/TEH-Series-1%25-T0247-Resistor.jpg,TEH100M25R0FE-ND,TEH100M25R0FE,Ohmite,RES 25 OHM 100W 1% TO247,11.13,Tube,TEH100,25,±1%,100W,Thick Film,"Moisture Resistant, Non-Inductive, Pulse Withstanding",±50ppm/°C,-,"0.620"" L x 0.195"" W (15.75mm x 4.95mm)"
Resistor,http://www.ohmite.com/cat/res_teh100.pdf,http://media.digikey.com/photos/Ohmite%20Photos/TEH-Series-1%25-T0247-Resistor.jpg,TEH100M100RFE-ND,TEH100M100RFE,Ohmite,RES 100 OHM 100W 1% TO247,11.13,Tube,TEH100,100,±1%,100W,Thick Film,"Moisture Resistant, Non-Inductive, Pulse Withstanding",±50ppm/°C,-,"0.620"" L x 0.195"" W (15.75mm x 4.95mm)"
Resistor,http://www.ohmite.com/cat/res_teh100.pdf,http://media.digikey.com/photos/Ohmite%20Photos/TEH-Series-1%25-T0247-Resistor.jpg,TEH100M10R0FE-ND,TEH100M10R0FE,Ohmite,RES 10 OHM 100W 1% TO247,11.13,Tube,TEH100,10,±1%,100W,Thick Film,"Moisture Resistant, Non-Inductive, Pulse Withstanding",±50ppm/°C,-,"0.620"" L x 0.195"" W (15.75mm x 4.95mm)"
